Taxon,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,Other names,Notes,Trophic strategy,Cell Cover,Shape,Spicule,Symmetry,Polarity,Colony,Motility,Chloroplast,Ingestion,Behavior,Mutualistic Host,Symbiotic,Symbiont location,Host Specialization,Symbiont Specialization,Prey Specialization,Mucilage,Chemical Signal,Nutrient Affinity,Oxygen Tolerance,Salinity,Temperature,Depth,Toxygenity,Benthic Phase,Cyst Spore,Sexual reproduction or division,Ploidy,Genome Size,Presence in other subeuphotic regions?,Presence in extreme environment?,Lab-based studies,Field-based studies,Sequencing,Gene expression,Genes of note,Notes on phylogenetic placement,Resources
Eukaryota;Stramenopiles,Eukaryota,Stramenopiles,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta,Eukaryota,Stramenopiles,Ochrophyta,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Araphid-pennate,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Araphid-pennate;Araphid-pennate_X;Araphid-pennate_X_sp.;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Araphid-pennate_X,Araphid-pennate_X_sp.,,,,Siliceous,Elongated,0,Bilateral,,,Floater,1,No,,,,,,,,1,,,,,,,,,,,Haplodiplont,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Araphid-pennate;Diatoma,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Diatoma,NA,Order: Fragilariales  Family: Fragilariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Araphid-pennate;Fragilaria,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Fragilaria,NA,Order: Fragilariales  Family: Fragilariaceae,,,,,,,,,,,,,,,,Photosymbiont of Amphistegina lobifera,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Attheya,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Attheya,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Bacteriastrum,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Bacteriastrum,NA,,Eaten by Rhizamoeba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,NA,,Eaten by dinoflagellates,,,,,,,,,,,,,,,,"Nitrogen fixing cyanobacteria, parasitic Chytridomycetes",,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros_decipiens;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros_decipiens,,,,Siliceous,,,,,Chains,,,,,,,,,Hosts parasitic dinoflagellate Paulsenella chaetoceratis,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros_diadema_1;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros_diadema_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Conticribra;Conticribra_weissflogii;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Conticribra,Conticribra_weissflogii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Cyclotella,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Cyclotella,NA,,,,Siliceous,Round,0,Radial,Isopolar,None,Floater,1,No,Unmotile_Autotroph,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Cyclotella;Cyclotella_meneghiniana;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Cyclotella,Cyclotella_meneghiniana,,,,Siliceous,Round,0,Radial,Isopolar,None,Floater,1,No,Unmotile_Autotroph,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Ditylum;Ditylum_brightwellii;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Ditylum,Ditylum_brightwellii,,Eaten by dinoflagellates,,Siliceous,Elongated,1,Radial,Isopolar,Ellongated,Floater,1,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Polar-centric-Mediophyceae_X;Polar-centric-Mediophyceae_X_sp.;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Polar-centric-Mediophyceae_X,Polar-centric-Mediophyceae_X_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Skeletonema,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Skeletonema,NA,,Eaten by dinoflagellates,,Siliceous,Round,0,Radial,Heteropolar,Ellongated,Floater,1,No,,,No,,,Unknown symbiotic relationship with alpha and gamma proteobacteria,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Thalassiosira,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Thalassiosira,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Thalassiosira;Thalassiosira_hispida;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Thalassiosira,Thalassiosira_hispida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Thalassiosira;Thalassiosira_pseudonana;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Thalassiosira,Thalassiosira_pseudonana,,"Eaten by dinoflagellate Heterocapsa triquetra, prymnesiophyte Prymnesium parvum, and Polycystin Thalassicolla nucleata",,,,,,,,,,,,,,,,Vitamin B12 providing alphaproteobacteria symbiont,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae;Corethron,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Corethron,NA,,Eaten by dinoflagellates,,Siliceous,Elongated,1,Radial,Isopolar,None,Floater,1,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae;Guinardia,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Guinardia,NA,,Eaten by dinoflagellates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae;Guinardia;Guinardia_flaccida;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Guinardia,Guinardia_flaccida,,Eaten by dinoflagellate Protoperidinium minutum and tubulin Rhizamoeba schnepfii,,,,,,,,,,,,,,,,Hosts parasitic stramenopile Pirsonia guinardiae and parasitic rhizarian Pseudopirsonia mucosa,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae;Proboscia,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Proboscia,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Amphora,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Amphora,NA,,,,,,,,,,,,,,,"Photosymbiont of foraminiferan Borelis schlumbergi, Heterostegina antillarum, and Operculina ammonoides",,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Cylindrotheca;Cylindrotheca_closterium;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Cylindrotheca,Cylindrotheca_closterium,,Eaten by ciliate Fabrea salina,,Siliceous,Elongated,0,Bilateral,Isopolar,None,Floater,1,No,,,No,,,Hosts parasitic Chytridiomycete Rhizophydium,,1,,,,20_22,20_25,,,,0,,Haplodiplont,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Cymbella,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Cymbella,NA,,Eaten by ciliates. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Encyonema,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Encyonema,NA,,"On WoRMS, Chromista (Kingdom) Bacillariophyta (Phylum) Bacillariophytina (Subphylum) Bacillariophyceae (Class) Bacillariophycidae (Subclass) Bacillariophycanae (Superorder) Cymbellales (Order) Cymbellaceae (Family) Encyonema (Genus). On NCBI, Lineage( full ) cellular organisms; Eukaryota; Sar; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Cymbellales; Cymbellaceae
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Eunotia;Eunotia_pectinalis;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Eunotia,Eunotia_pectinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Fragilariopsis;Fragilariopsis_cylindrus;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Fragilariopsis,Fragilariopsis_cylindrus,,"On WoRMS, Phylum: Bacillariophyta, Subphylum: Bacillariophytina, Class: Bacillariophyceae, Subclass: Bacillariophycidae, Superorder: Bacillariophycanae, Order: Bacillariales, Family: Bacillariaceae",,,Elongated,0,Bilateral,Isopolar,Solitary or doublet colonies,,,,,,,,,,,,,,,,,,,,,,,,"Kennedy, F., Martin, A., Bowman, J. P., Wilson, R., & McMinn, A. (2019). Dark metabolism: a molecular insight into how the Antarctic sea-ice diatom Fragilariopsis cylindrus survives long-term darkness. The New phytologist, 223(2), 675–691. https://doi.org/10.1111/nph.15843",,,,,,,,"Cefarelli, A. O., Ferrario, M. E., Almandoz, G. O., Atencio, A. G., Akselman, R., & Vernet, M. (2010). Diversity of the diatom genus Fragilariopsis in the Argentine Sea and Antarctic waters: morphology, distribution and abundance. Polar Biology, 33(11), 1463–1484. https://doi.org/10.1007/s00300-010-0794-z"
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Navicula,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Navicula,NA,,"On WoRMS, Phylum: Bacillariophyta, Subphylum: Bacillariophytina, Class: Bacillariophyceae, Subclass: Bacillariophycidae, Superorder: Bacillariophycanae, Order: Naviculales, Family: Naviculaceae",,,,,,,,,,,,,,,"Photosymbiont of foraminiferans (Amphistegina, Borelis, Calcarina, Heterostegina), ciliates (Codonellopsis), dinoflagellates, (Gyrodinium), and cercozoan (Leptophyrs)",Hosts parasitic rhizarian Cryothecomonas longipes,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Navicula;Navicula_phyllepta;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Navicula,Navicula_phyllepta,,"On WoRMS, Phylum: Bacillariophyta, Subphylum: Bacillariophytina, Class: Bacillariophyceae, Subclass: Bacillariophycidae, Superorder: Bacillariophycanae, Order: Naviculales, Family: Naviculaceae",,Siliceous,Elongated,0,Bilateral,Isopolar,None,Floater,1,No,,,No,,,,,1,,,,,,,,,0,,Haplodiplont,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Nitzschia,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Nitzschia,NA,,"Eaten by dinoflagellates, On WoRMS, Phylum: Bacillariophyta, Subphylum: Bacillariophytina, Class: Bacillariophyceae, Subclass: Bacillariophycidae, Superorder: Bacillariophycanae, Order: Bacillariales, Family: Bacillariaceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Nitzschia;Nitzschia_palea;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Nitzschia,Nitzschia_palea,,"Eaten by ciliate and archamoeba, On WoRMS, Phylum: Bacillariophyta, Subphylum: Bacillariophytina, Class: Bacillariophyceae, Subclass: Bacillariophycidae, Superorder: Bacillariophycanae, Order: Bacillariales, Family: Bacillariaceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trobajo R., Clavero E., Chepurnov V.A., Sabbe K., Mann D.G., Ishihara S. and Cox E.J. 2009. Morphological, genetic and mating diversity within the widespread bioindicator Nitzschia palea (Bacillariophyceae). Phycologia 48: 443–459. DOI: 10.2216/08-69.1.",
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Pinnularia,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Pinnularia,NA,,"On WoRMS, Phylum: Bacillariophyta, Subphylum: Bacillariophytina, Class: Bacillariophyceae, Subclass: Bacillariophycidae, Superorder: Bacillariophycanae, Order: Naviculales, Family: Pinnulariaceae",,Siliceous,Elongated,0,Bilateral,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Pseudo-nitzschia,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Pseudo-nitzschia,NA,,"On WoRMS, Phylum: Bacillariophyta, Subphylum: Bacillariophytina, Class: Bacillariophyceae, Subclass: Bacillariophycidae, Superorder: Bacillariophycanae, Order: Bacillariales, Family: Bacillariaceae",,Siliceous,Elongated,0,Bilateral,Isopolar,Ellongated,Floater,1,No,,,No,,,Unknown symbiotic relationship with gammaproteobacteria,,1,,,,,,,Prob,,0,,Haplodiplont,,,,"Stewart JE, et al. 1997. Symbiotic relations between bacteria and the domoic acid producing diatom Pseudo-nitzschia multiseries and the capacity of these bacteria for gluconic acid/gluconolactone formation. Aquatic Microbial Ecology. Doi: 10.3354/ame012211. https://www.int-res.com/abstracts/ame/v12/n3/p211-221/",,,,,"Lundholm, N. and Moestrup, Ø. (2002) ‘The marine diatom Pseudo-nitzschia galaxiae sp. nov. (Bacillariophyceae): morphology and phylogenetic relationships’, Phycologia, 41(6), pp. 594–605. doi: 10.2216/i0031-8884-41-6-594.1",
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Raphid-pennate_X;Raphid-pennate_X_sp.;,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Raphid-pennate_X,Raphid-pennate_X_sp.,,"On WoRMS, Phylum: Bacillariophyta",,Siliceous,Elongated,0,Bilateral,,,Floater,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales,Eukaryota,Stramenopiles,Ochrophyta,Bolidophyceae,Parmales,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Parmales_env_2;Parmales_env_2_X;Parmales_env_2_X_sp.;,Eukaryota,Stramenopiles,Ochrophyta,Bolidophyceae,Parmales,Parmales_env_2,Parmales_env_2_X,Parmales_env_2_X_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Parmales_env_3;Parmales_env_3B;Parmales_env_3B_sp.;,Eukaryota,Stramenopiles,Ochrophyta,Bolidophyceae,Parmales,Parmales_env_3,Parmales_env_3B,Parmales_env_3B_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Triparmaceae;Triparma,Eukaryota,Stramenopiles,Ochrophyta,Bolidophyceae,Parmales,Triparmaceae,Triparma,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Triparmaceae;Triparma;Triparma_eleuthera;,Eukaryota,Stramenopiles,Ochrophyta,Bolidophyceae,Parmales,Triparmaceae,Triparma,Triparma_eleuthera,,,,Naked ,Round,,,,None,Swimmer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mutsuo Ichinomiya, et al. 2016. Diversity and oceanic distribution of the Parmales (Bolidophyceae), a picoplanktonic group closely related to diatoms, The ISME Journal, Volume 10, Issue 10, Pages 2419–2434, https://doi.org/10.1038/ismej.2016.38",
Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Triparmaceae;Triparma;Triparma_pacifica;,Eukaryota,Stramenopiles,Ochrophyta,Bolidophyceae,Parmales,Triparmaceae,Triparma,Triparma_pacifica,Basionym: Bolidomonas pacifica,,,Naked (motile)/Siliceous (non-motile),Round,,,,None,Swimmer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kuwata Akira, et al. 2018. Bolidophyceae, a Sister Picoplanktonic Group of Diatoms – A Review. Frontiers in Marine Science Volume 5. https://www.frontiersin.org/articles/10.3389/fmars.2018.00370. DOI: 10.3389/fmars.2018.00370 ",
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-B1;Chrysocapsa;Chrysocapsa_wetherbeei;,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-B1,Chrysocapsa,Chrysocapsa_wetherbeei,Formerly Chrysocapsella paludosa,"On WoRMS, Order: Chromulinales, Family: Chrysocapsaceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-C,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-C,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-C;Chrysophyceae_Clade-C_X;Chrysophyceae_Clade-C_X_sp.;,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-C,Chrysophyceae_Clade-C_X,Chrysophyceae_Clade-C_X_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-C;Poterioochromonas,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-C,Poterioochromonas,NA,,"On WoRMS, Order: Chromulinales, Family: Dinobryaceae",Mixotrophic,,Round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-C;Poteriospumella;Poteriospumella_lacustris;,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-C,Poteriospumella,Poteriospumella_lacustris,,"On WoRMS, Order: Chromulinales, Family: Dinobryaceae",,,,,,,,,,,,,,,,,Bacteria (M. aeruginosa-cyanobacteria),,,,,,,,,,,,,,,,"Shuangshuang Chen, et al. 2024. Controlling toxic Microcystis blooms: The power of a novel microalgal predator Poteriospumella lacustris in water safety improvement, Journal of Cleaner Production, Volume 441, https://doi.org/10.1016/j.jclepro.2024.141011. (https://www.sciencedirect.com/science/article/pii/S095965262400458X)",,"Stephan Majda, Jens Boenigk, Daniela Beisser, Intraspecific Variation in Protists: Clues for Microevolution from Poteriospumella lacustris (Chrysophyceae), Genome Biology and Evolution, Volume 11, Issue 9, September 2019, Pages 2492–2504, https://doi.org/10.1093/gbe/evz171",,,,
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-D;Chrysophyceae_Clade-D_X;Chrysophyceae_Clade-D_X_sp.;,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-D,Chrysophyceae_Clade-D_X,Chrysophyceae_Clade-D_X_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-E,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-E,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-F,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-F,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-F;Chrysophyceae_Clade-F_X;Chrysophyceae_Clade-F_X_sp.;,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-F,Chrysophyceae_Clade-F_X,Chrysophyceae_Clade-F_X_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
